;Фамилия автора по-русски;Название журнала;Год публикации
340;Сименон;Вокруг света;1965
341;Сименон;Дон;1965
342;Сименон;Искатель;1965
343;Сименон;Огонек;1965
344;Сименон;Дон;1966
345;Сименон;Звезда Востока;1966
346;Сименон;Знамя;1966
347;Сименон;Наш современник;1966
348;Сименон;Наш современник;1966
349;Сименон;Нева;1966
350;Сименон;Огонек;1966
351;Сименон;Социалистическая законность;1966
352;Сименон;Социалистическая законность;1966
353;Сименон;Социалистическая законность;1966
354;Сименон;Дон;1967
355;Сименон;Звезда;1967
356;Сименон;Неман;1967
357;Сименон;Звезда Востока;1969
358;Сименон;Звезда Востока;1970
359;Сименон;Звезда Востока;1971
360;Сименон;Искатель;1971
361;Сименон;Кодры;1971
362;Сименон;Неман;1971
363;Сименон;Подъем;1971
364;Сименон;Простор;1971
365;Сименон;Простор;1971
366;Сименон;Звезда Востока;1972
367;Сименон;Литературный Азербайджан;1972
368;Сименон;Памир;1972
369;Сименон;Неделя;1973
370;Сименон;Литературная Россия;1974
371;Сименон;Литературный Азербайджан;1974
372;Сименон;Нева;1974
373;Сименон;Север;1974
374;Сименон;Неман;1976
375;Сименон;Звезда Востока;1977
376;Сименон;Искатель;1977
377;Сименон;Литературная Россия;1977
378;Сименон;Смена;1977
379;Сименон;Искатель;1978
380;Сименон;Нева;1978
381;Сименон;Октябрь;1978
382;Сименон;Памир;1978
383;Сименон;Волга;1979
384;Сименон;Звезда Востока;1980
385;Сименон;Памир;1980
386;Сименон;Звезда Востока;1981
387;Сименон;Простор;1981
388;Сименон;Искатель;1982
389;Сименон;Простор;1982
390;Сименон;УралЬСКИЙ следопыт;1982
391;Сименон;Звезда Востока;1983
392;Сименон;Кодры;1983
393;Сименон;Звезда Востока;1984
394;Сименон;Аврора;1986
395;Сименон;Ашхабад;1986
396;Сименон;Дон;1986
397;Сименон;Кодры;1986
398;Сименон;Кодры;1986
399;Сименон;Аврора;1987
400;Сименон;Байкал;1987
401;Сименон;Байкал;1987
402;Сименон;Байкал;1987
403;Сименон;Звезда Востока;1987
404;Сименон;Кодры;1987
405;Сименон;Огонек;1987
406;Сименон;Байкал;1988
407;Сименон;Байкал;1988
408;Сименон;Байкал;1988
409;Сименон;Звезда;1988
410;Сименон;Звезда Востока;1988
411;Сименон;Кодры;1988
412;Сименон;Кодры;1988
413;Сименон;Кубань;1988
414;Сименон;Волга;1989
415;Сименон;Звезда Востока;1989
416;Сноу;Дон;1968
417;Стаут;Наш современник;1967
418;Стаут;Наш современник;1970
419;Стаут;Памир;1970
420;Стаут;Наш современник;1971
421;Стаут;Простор;1973
422;Стаут;Простор;1974
423;Стаут;Литературная Россия;1975
424;Стаут;Физкультура и спорт;1975
425;Стаут;Звезда Востока;1979
426;Стаут;Неделя;1979
427;Стаут;Искатель;1981
428;Стрэйндж;Огонек;1970
